id_instrumento,id_grupo_instrumento,nome,dt_inclusao,dt_alteracao,is_deleted,usuario
1,1,"BERRANTE","09/08/15 12:14:39",,0,"ECAD"
2,1,"CLARIN","09/08/15 12:14:39",,0,"ECAD"
3,1,"CLARINETE","09/08/15 12:14:39",,0,"ECAD"
4,1,"CLARONE","09/08/15 12:14:39",,0,"ECAD"
5,1,"CONTRA FAGOTE","09/08/15 12:14:39",,0,"ECAD"
6,1,"CORNE INGLES","09/08/15 12:14:39",,0,"ECAD"
7,1,"FAGOTE","09/08/15 12:14:39",,0,"ECAD"
8,1,"FLAUTA","09/08/15 12:14:39",,0,"ECAD"
9,1,"FLAUTA BAIXO","09/08/15 12:14:39",,0,"ECAD"
10,1,"FLAUTA DOCE","09/08/15 12:14:39",,0,"ECAD"
11,1,"FLAUTA EM SOL","09/08/15 12:14:39",,0,"ECAD"
12,1,"FLAUTIM","09/08/15 12:14:39",,0,"ECAD"
13,1,"FLUGEL HORN","09/08/15 12:14:39",,0,"ECAD"
14,1,"GAITA","09/08/15 12:14:39",,0,"ECAD"
15,1,"OBOE","09/08/15 12:14:39",,0,"ECAD"
16,1,"OCARINA","09/08/15 12:14:39",,0,"ECAD"
17,1,"PISTON","09/08/15 12:14:39",,0,"ECAD"
18,1,"SAX ALTO","09/08/15 12:14:39",,0,"ECAD"
19,1,"SAX BAIXO","09/08/15 12:14:39",,0,"ECAD"
20,1,"SAX BARITONO","09/08/15 12:14:39",,0,"ECAD"
21,1,"SAXOFONE","09/08/15 12:14:39",,0,"ECAD"
22,1,"SAX SOPRANO","09/08/15 12:14:39",,0,"ECAD"
23,1,"SAX TENOR","09/08/15 12:14:39",,0,"ECAD"
24,1,"TROMBONE BAIXO","09/08/15 12:14:40",,0,"ECAD"
25,1,"TROMBONE PISTON","09/08/15 12:14:40",,0,"ECAD"
26,1,"TROMBONE TENOR","09/08/15 12:14:40",,0,"ECAD"
27,1,"TROMBONE VARA","09/08/15 12:14:40",,0,"ECAD"
28,1,"TROMPA","09/08/15 12:14:40",,0,"ECAD"
29,1,"TROMPETE","09/08/15 12:14:40",,0,"ECAD"
30,1,"TROMBONE","09/08/15 12:14:40",,0,"ECAD"
31,1,"TUBA/BOMBARDINO","09/08/15 12:14:40",,0,"ECAD"
32,1,"SHANKER","09/08/15 12:14:40",,0,"ECAD"
33,1,"LEAD","09/08/15 12:14:40",,0,"ECAD"
34,1,"SHIME","09/08/15 12:14:40",,0,"ECAD"
35,1,"GAITA DO FOLE","09/08/15 12:14:40",,0,"ECAD"
36,2,"ALAUDE","09/08/15 12:14:40",,0,"ECAD"
37,2,"BAIXO","09/08/15 12:14:40",,0,"ECAD"
38,2,"BANDONEON","09/08/15 12:14:40",,0,"ECAD"
39,2,"BANDOLIM","09/08/15 12:14:40",,0,"ECAD"
40,2,"BANJO","09/08/15 12:14:40",,0,"ECAD"
41,2,"CAVACO","09/08/15 12:14:40",,0,"ECAD"
42,2,"CAVAQUINHO","09/08/15 12:14:40",,0,"ECAD"
43,2,"CITARA","09/08/15 12:14:40",,0,"ECAD"
44,2,"CONTRA BAIXO","09/08/15 12:14:40",,0,"ECAD"
45,2,"CRAVO","09/08/15 12:14:40",,0,"ECAD"
46,2,"GUITARRA SOLO","09/08/15 12:14:40",,0,"ECAD"
47,2,"GUITARRA BASE","09/08/15 12:14:40",,0,"ECAD"
48,2,"GUITARRA HAVAIANA","09/08/15 12:14:40",,0,"ECAD"
49,2,"GUITARRA PORTUGUESA","09/08/15 12:14:40",,0,"ECAD"
50,2,"BAIXOLA","09/08/15 12:14:40",,0,"ECAD"
51,2,"HARPA","09/08/15 12:14:40",,0,"ECAD"
52,2,"LIRA","09/08/15 12:14:40",,0,"ECAD"
53,2,"GUNGA","09/08/15 12:14:40",,0,"ECAD"
54,2,"VIBRAFONE","09/08/15 12:14:40",,0,"ECAD"
55,2,"VIOLA","09/08/15 12:14:40",,0,"ECAD"
56,2,"VIOLAO","09/08/15 12:14:40",,0,"ECAD"
57,2,"VIOLAO 12","09/08/15 12:14:40",,0,"ECAD"
58,2,"VIOLAO 7 CORDAS","09/08/15 12:14:40",,0,"ECAD"
59,2,"VIOLAO ACUSTICO","09/08/15 12:14:40",,0,"ECAD"
60,2,"VIOLINO","09/08/15 12:14:40",,0,"ECAD"
61,2,"VIOLINO SPALLA","09/08/15 12:14:40",,0,"ECAD"
62,2,"VIOLONCELO","09/08/15 12:14:40",,0,"ECAD"
63,2,"STEEL GUITAR","09/08/15 12:14:40",,0,"ECAD"
64,2,"VIOLA 10 (CAIPIRA)","09/08/15 12:14:40",,0,"ECAD"
65,2,"LOOPINGS","09/08/15 12:14:40",,0,"ECAD"
66,2,"VIOLAO QUINTO","09/08/15 12:14:40",,0,"ECAD"
67,2,"VIOLAO OVATION","09/08/15 12:14:40",,0,"ECAD"
68,2,"VIOLAO 6 CORDAS","09/08/15 12:14:40",,0,"ECAD"
69,2,"BAIXO ELETRICO","09/08/15 12:14:40",,0,"ECAD"
70,2,"BAIXO ACUSTICO","09/08/15 12:14:40",,0,"ECAD"
72,3,"BATERIA","09/08/15 12:14:40",,0,"ECAD"
73,3,"BERIMBAU","09/08/15 12:14:40",,0,"ECAD"
74,3,"BONGO","09/08/15 12:14:40",,0,"ECAD"
75,3,"BUMBO","09/08/15 12:14:40",,0,"ECAD"
76,3,"CAIXA","09/08/15 12:14:40",,0,"ECAD"
77,3,"CHOCALHO","09/08/15 12:14:40",,0,"ECAD"
79,3,"CONGA","09/08/15 12:14:40",,0,"ECAD"
80,3,"CUICA","09/08/15 12:14:40",,0,"ECAD"
81,3,"GANZA","09/08/15 12:14:40",,0,"ECAD"
82,3,"KACIMBA","09/08/15 12:14:40",,0,"ECAD"
83,3,"MARACA","09/08/15 12:14:40",,0,"ECAD"
84,3,"MARIMBA","09/08/15 12:14:40",,0,"ECAD"
85,3,"PANDEIRO","09/08/15 12:14:40",,0,"ECAD"
86,3,"PIFANO","09/08/15 12:14:40",,0,"ECAD"
87,3,"QUEIXADA","09/08/15 12:14:40",,0,"ECAD"
88,3,"RABECA","09/08/15 12:14:40",,0,"ECAD"
89,3,"RECO RECO","09/08/15 12:14:40",,0,"ECAD"
90,3,"REPINIQUE","09/08/15 12:14:40",,0,"ECAD"
91,3,"SURDO","09/08/15 12:14:40",,0,"ECAD"
92,3,"TABLA","09/08/15 12:14:40",,0,"ECAD"
93,3,"TAMBOR","09/08/15 12:14:40",,0,"ECAD"
94,3,"TAMBORIM","09/08/15 12:14:40",,0,"ECAD"
95,3,"TAMBORINE","09/08/15 12:14:40",,0,"ECAD"
96,3,"TANTAN","09/08/15 12:14:40",,0,"ECAD"
97,3,"TAROL","09/08/15 12:14:40",,0,"ECAD"
98,3,"TIMBALE/TIMBLAU","09/08/15 12:14:40",,0,"ECAD"
99,3,"TIMPANO","09/08/15 12:14:40",,0,"ECAD"
100,3,"TRIANGULO","09/08/15 12:14:40",,0,"ECAD"
101,3,"TUMBADORA","09/08/15 12:14:40",,0,"ECAD"
102,3,"XILOFONE","09/08/15 12:14:40",,0,"ECAD"
103,3,"XIQUE XIQUE","09/08/15 12:14:40",,0,"ECAD"
104,3,"ZABUMBA","09/08/15 12:14:40",,0,"ECAD"
105,126,"SAMPLER","09/08/15 12:14:40",,0,"ECAD"
106,3,"CABACA","09/08/15 12:14:40",,0,"ECAD"
108,3,"ATABAQUE","09/08/15 12:14:40",,0,"ECAD"
109,3,"AFOXE","09/08/15 12:14:40",,0,"ECAD"
110,3,"BINGOLA","09/08/15 12:14:40",,0,"ECAD"
111,3,"CASCARA","09/08/15 12:14:40",,0,"ECAD"
112,3,"REPIQUE","09/08/15 12:14:40",,0,"ECAD"
113,3,"DJAMBE","09/08/15 12:14:40",,0,"ECAD"
114,3,"FACA","09/08/15 12:14:40",,0,"ECAD"
115,3,"VARGEM","09/08/15 12:14:40",,0,"ECAD"
116,3,"SINO","09/08/15 12:14:40",,0,"ECAD"
117,3,"CAXIXI","09/08/15 12:14:40",,0,"ECAD"
118,3,"CASTANHOLA","09/08/15 12:14:40",,0,"ECAD"
119,3,"REQUINTO","09/08/15 12:14:40",,0,"ECAD"
121,3,"DERBAK","09/08/15 12:14:40",,0,"ECAD"
122,3,"REPIQUE DE ANEL","09/08/15 12:14:40",,0,"ECAD"
123,3,"CATIRA","09/08/15 12:14:40",,0,"ECAD"
124,3,"CAIXA DE FOLIA","09/08/15 12:14:40",,0,"ECAD"
125,3,"TAMPA DE LATAO","09/08/15 12:14:40",,0,"ECAD"
126,3,"CAIXA DE FOSFORO","09/08/15 12:14:40",,0,"ECAD"
127,3,"REALEJO","09/08/15 12:14:40",,0,"ECAD"
128,3,"SOCADOR","09/08/15 12:14:40",,0,"ECAD"
130,3,"MATRACA","09/08/15 12:14:40",,0,"ECAD"
131,3,"COQUINHO","09/08/15 12:14:40",,0,"ECAD"
132,3,"PANDEROLA","09/08/15 12:14:40",,0,"ECAD"
133,3,"TACO","09/08/15 12:14:40",,0,"ECAD"
134,4,"PEDAL STEEL","09/08/15 12:14:40",,0,"ECAD"
135,4,"ACORDEON","09/08/15 12:14:40",,0,"ECAD"
136,4,"CLAVE (CLAVECINO)","09/08/15 12:14:40",,0,"ECAD"
137,4,"HARMONICA","09/08/15 12:14:40",,0,"ECAD"
138,4,"MINI MOOG","09/08/15 12:14:40",,0,"ECAD"
139,4,"ORGAO","09/08/15 12:14:40",,0,"ECAD"
141,4,"PIANO","09/08/15 12:14:40",,0,"ECAD"
142,4,"PIANO ACUSTICO","09/08/15 12:14:40",,0,"ECAD"
143,4,"SANFONA","09/08/15 12:14:40",,0,"ECAD"
144,5,"SINTETIZADOR","09/08/15 12:14:40",,0,"ECAD"
145,6,"BATERIA DE LATAS/GARRAFAS","09/08/15 12:14:40",,0,"ECAD"
146,6,"PICOLO","09/08/15 12:14:40",,0,"ECAD"
147,6,"XILOFONE DE TAMBORINS","09/08/15 12:14:40",,0,"ECAD"
148,6,"PRATOS","09/08/15 12:14:40",,0,"ECAD"
149,6,"BACURINHO","09/08/15 12:14:40",,0,"ECAD"
150,6,"SINCERRO","09/08/15 12:14:40",,0,"ECAD"
151,6,"CARRILHAO","09/08/15 12:14:40",,0,"ECAD"
152,6,"XEQUERE","09/08/15 12:14:40",,0,"ECAD"
153,6,"COWBELLS","09/08/15 12:14:40",,0,"ECAD"
154,6,"TALK BOX","09/08/15 12:14:40",,0,"ECAD"
155,6,"CHIMES","09/08/15 12:14:40",,0,"ECAD"
157,6,"CHARANGA","09/08/15 12:14:40",,0,"ECAD"
158,6,"UDUH","09/08/15 12:14:40",,0,"ECAD"
159,6,"EUFONIO","09/08/15 12:14:40",,0,"ECAD"
160,6,"TUBERE","09/08/15 12:14:40",,0,"ECAD"
161,6,"CONTRATEMPO","09/08/15 12:14:40",,0,"ECAD"
162,6,"PAU DE CHUVA","09/08/15 12:14:40",,0,"ECAD"
163,6,"ENXADA","09/08/15 12:14:40",,0,"ECAD"
165,6,"BLOCK","09/08/15 12:14:40",,0,"ECAD"
212,3,"AGOGO","09/08/15 12:14:40",,0,"ECAD"
213,3,"PERCUSSAO","09/08/15 12:14:40",,0,"ECAD"
214,4,"TECLADO","09/08/15 12:14:40",,0,"ECAD"
215,1,"METAIS","09/08/15 12:14:40",,0,"ECAD"
253,2,"CORDAS","09/08/15 12:14:40",,0,"ECAD"
294,1,"SOPRO","09/08/15 12:14:40",,0,"ECAD"
313,126,"PROGRAMADOR DE BATERIA","09/08/15 12:14:40",,0,"ECAD"
314,6,"PALMAS","09/08/15 12:14:40",,0,"ECAD"
333,6,"MENDOLIN","09/08/15 12:14:40",,0,"ECAD"
353,126,"PRODUCAO","09/08/15 12:14:40",,0,"ECAD"
373,6,"BLINS","09/08/15 12:14:40",,0,"ECAD"
393,2,"VIOLAO DE ACO","09/08/15 12:14:40",,0,"ECAD"
394,6,"MANDOLIN","09/08/15 12:14:40",,0,"ECAD"
395,6,"DOBRO","09/08/15 12:14:40",,0,"ECAD"
413,1,"FLAUTA PAM","09/08/15 12:14:40",,0,"ECAD"
414,6,"CAMA","09/08/15 12:14:40",,0,"ECAD"
415,6,"WOOD BLOCK","09/08/15 12:14:40",,0,"ECAD"
416,6,"CAMA VOICES","09/08/15 12:14:40",,0,"ECAD"
417,6,"PIZZICATO","09/08/15 12:14:40",,0,"ECAD"
418,6,"PAD","09/08/15 12:14:40",,0,"ECAD"
419,6,"HORN","09/08/15 12:14:40",,0,"ECAD"
420,3,"CAIXA ORQUESTRA","09/08/15 12:14:40",,0,"ECAD"
421,6,"SCRATCHES","09/08/15 12:14:40",,0,"ECAD"
433,4,"BATERIA ELETRONICA","09/08/15 12:14:40",,0,"ECAD"
453,6,"BANDA","09/08/15 12:14:40",,0,"ECAD"
473,4,"ACORDEON 8 BAIXOS","09/08/15 12:14:40",,0,"ECAD"
474,126,"COPIAS MUSICAIS","09/08/15 12:14:40",,0,"ECAD"
475,126,"ARREGIMENTAÇÃO BASES","09/08/15 12:14:40",,0,"ECAD"
493,126,"PROGRAMACAO","09/08/15 12:14:40",,0,"ECAD"
494,6,"BASS","09/08/15 12:14:40",,0,"ECAD"
495,6,"BEAT BOX","09/08/15 12:14:40",,0,"ECAD"
496,4,"CORDEONA","09/08/15 12:14:40",,0,"ECAD"
497,6,"DARBUKAS","09/08/15 12:14:40",,0,"ECAD"
498,1,"FLAUTA TRANSVERSA","09/08/15 12:14:40",,0,"ECAD"
499,6,"GUINZO","09/08/15 12:14:40",,0,"ECAD"
500,3,"GUIRO","09/08/15 12:14:40",,0,"ECAD"
501,6,"KORG/KLONG","09/08/15 12:14:40",,0,"ECAD"
502,3,"MOLO","09/08/15 12:14:40",,0,"ECAD"
503,3,"MORINGA","09/08/15 12:14:40",,0,"ECAD"
505,6,"MUZETTE","09/08/15 12:14:40",,0,"ECAD"
513,6,"SYNTH BASS","09/08/15 12:14:40",,0,"ECAD"
514,3,"TAMBOR BOI","09/08/15 12:14:40",,0,"ECAD"
515,6,"RAP","09/08/15 12:14:40",,0,"ECAD"
516,6,"CRYVACO","09/08/15 12:14:41",,0,"ECAD"
517,6,"FEDDLE","09/08/15 12:14:41",,0,"ECAD"
518,3,"PANDEIRAO","09/08/15 12:14:41",,0,"ECAD"
533,6,"ASSOVIO","09/08/15 12:14:41",,0,"ECAD"
553,1,"GAITA PONTO","09/08/15 12:14:41",,0,"ECAD"
573,126,"DIRECAO MUSICAL","09/08/15 12:14:41",,0,"ECAD"
595,2,"CONTRABAIXO ACUSTICO","09/08/15 12:14:41",,0,"ECAD"
613,3,"RITMO","09/08/15 12:14:41",,0,"ECAD"
633,6,"BASE ELETRONICA","09/08/15 12:14:41",,0,"ECAD"
634,6,"NAIABINGUIM","09/08/15 12:14:41",,0,"ECAD"
653,6,"UNHAS","09/08/15 12:14:41",,0,"ECAD"
673,6,"COMPLEMENTOS","09/08/15 12:14:41",,0,"ECAD"
674,6,"SHIBAL","09/08/15 12:14:41",,0,"ECAD"
675,6,"EFEITOS ESPECIAIS","09/08/15 12:14:41",,0,"ECAD"
676,126,"MIXAGEM","09/08/15 12:14:41",,0,"ECAD"
677,6,"PANTAGONE","09/08/15 12:14:41",,0,"ECAD"
678,1,"APITO","09/08/15 12:14:41",,0,"ECAD"
694,6,"TORPEDO","09/08/15 12:14:41",,0,"ECAD"
695,2,"GUITARRA TREMULA","09/08/15 12:14:41",,0,"ECAD"
696,6,"RITM TECH","09/08/15 12:14:41",,0,"ECAD"
713,3,"GONGO","09/08/15 12:14:41",,0,"ECAD"
753,3,"PANDEIRO ABERTO","09/08/15 12:14:41",,0,"ECAD"
754,126,"SEQUENCIA","09/08/15 12:14:41",,0,"ECAD"
773,4,"PIANO ELETRICO","09/08/15 12:14:41",,0,"ECAD"
793,2,"GUITARRA","09/08/15 12:14:41",,0,"ECAD"
834,2,"VIOLAO BASE","09/08/15 12:14:41",,0,"ECAD"
835,3,"REBOLO","09/08/15 12:14:41",,0,"ECAD"
853,6,"SYNT PIZZICATO","09/08/15 12:14:41",,0,"ECAD"
854,2,"VIOLAO SOLO","09/08/15 12:14:41",,0,"ECAD"
855,126,"ARREGIMENTACAO","09/08/15 12:14:41",,0,"ECAD"
873,6,"ESCALETA","09/08/15 12:14:41",,0,"ECAD"
893,6,"SLIDE GUITAR","09/08/15 12:14:41",,0,"ECAD"
913,126,"TECNICO GRAVACAO","09/08/15 12:14:41",,0,"ECAD"
914,126,"AUXILIAR TECNICO DE GRAVACAO","09/08/15 12:14:41",,0,"ECAD"
933,6,"POLYSIX","09/08/15 12:14:41",,0,"ECAD"
934,2,"VIOLAO DE NYLON","09/08/15 12:14:41",,0,"ECAD"
953,3,"CANOS DE BAMBU","09/08/15 12:14:41",,0,"ECAD"
973,6,"BOMBO LEGUERO","09/08/15 12:14:41",,0,"ECAD"
1013,3,"LATAS","09/08/15 12:14:41",,0,"ECAD"
1014,126,"COPISTA","09/08/15 12:14:41",,0,"ECAD"
1033,4,"CHINELOFONE","09/08/15 12:14:41",,0,"ECAD"
1053,6,"LEGUEIRO","09/08/15 12:14:41",,0,"ECAD"
1073,126,"COORDENAÇAO","09/08/15 12:14:41",,0,"ECAD"
1093,6,"PANELA","09/08/15 12:14:41",,0,"ECAD"
1113,6,"WIND SYNTH","09/08/15 12:14:41",,0,"ECAD"
1133,6,"RHODES","09/08/15 12:14:41",,0,"ECAD"
1134,2,"GUITARRA BAIANA","09/08/15 12:14:41",,0,"ECAD"
1135,6,"CAJON","09/08/15 12:14:41",,0,"ECAD"
1136,3,"BANDEJA","09/08/15 12:14:41",,0,"ECAD"
1137,3,"FRIGIDEIRA","09/08/15 12:14:41",,0,"ECAD"
1138,3,"VASO","09/08/15 12:14:41",,0,"ECAD"
1139,6,"PERC-LOOPS","09/08/15 12:14:41",,0,"ECAD"
1153,2,"CRAVIOLA","09/08/15 12:14:41",,0,"ECAD"
1193,4,"ACORDEON BASE","09/08/15 12:14:41",,0,"ECAD"
1194,4,"ACORDEON SOLO","09/08/15 12:14:41",,0,"ECAD"
1213,2,"CAVACO SOLO","09/08/15 12:14:41",,0,"ECAD"
1214,3,"REPIQUE DE MAO","09/08/15 12:14:41",,0,"ECAD"
1215,2,"BAIXO SOLO","09/08/15 12:14:41",,0,"ECAD"
1233,126,"PROGRAMADOR DE TECLADO","09/08/15 12:14:41",,0,"ECAD"
1234,3,"BATERIA ACUSTICA","09/08/15 12:14:41",,0,"ECAD"
1253,126,"COLAGENS","09/08/15 12:14:41",,0,"ECAD"
1273,126,"DIREÇÃO VOCAL","09/08/15 12:14:41",,0,"ECAD"
1293,3,"BATIDAS","09/08/15 12:14:41",,0,"ECAD"
1333,3,"CALIMBA","09/08/15 12:14:41",,0,"ECAD"
1353,2,"STEEL DRUMS","09/08/15 12:14:41",,0,"ECAD"
1373,1,"SAX SOLO","09/08/15 12:14:41",,0,"ECAD"
1374,2,"VIOLAO FLAMENCO","09/08/15 12:14:41",,0,"ECAD"
1393,4,"TECLADO ELETRONICO","09/08/15 12:14:41",,0,"ECAD"
1413,6,"CUATRO VENEZOLANO","09/08/15 12:14:41",,0,"ECAD"
1414,6,"CHARANGO","09/08/15 12:14:41",,0,"ECAD"
1415,6,"QUEEA","09/08/15 12:14:41",,0,"ECAD"
1416,6,"ZAMPOEA","09/08/15 12:14:41",,0,"ECAD"
1433,6,"WASHBORD","09/08/15 12:14:41",,0,"ECAD"
1434,2,"BAIXO FRETLESS","09/08/15 12:14:41",,0,"ECAD"
1453,6,"VENTO","09/08/15 12:14:41",,0,"ECAD"
1473,6,"POLLI-SYNTH","09/08/15 12:14:41",,0,"ECAD"
1474,6,"HIGH STRING","09/08/15 12:14:41",,0,"ECAD"
1494,4,"CORO DE TECLADO","09/08/15 12:14:41",,0,"ECAD"
1495,6,"SNAP","09/08/15 12:14:41",,0,"ECAD"
1514,6,"GLOCKSPELL","09/08/15 12:14:41",,0,"ECAD"
1534,3,"PREGO","09/08/15 12:14:41",,0,"ECAD"
1554,6,"SQUASH","09/08/15 12:14:41",,0,"ECAD"
1574,6,"MARCACAO","09/08/15 12:14:41",,0,"ECAD"
1575,6,"HAMMOND XB2","09/08/15 12:14:41",,0,"ECAD"
1594,6,"CIMBAL","09/08/15 12:14:41",,0,"ECAD"
1595,6,"TUBULAR","09/08/15 12:14:41",,0,"ECAD"
1614,6,"ROADES","09/08/15 12:14:41",,0,"ECAD"
1634,6,"CELESTA","09/08/15 12:14:41",,0,"ECAD"
1654,6,"PLATINELA","09/08/15 12:14:41",,0,"ECAD"
1655,6,"LAMINA","09/08/15 12:14:41",,0,"ECAD"
1674,2,"GUITARRA ACUSTICA","09/08/15 12:14:41",,0,"ECAD"
1694,3,"XIQUERE","09/08/15 12:14:41",,0,"ECAD"
1714,6,"MIDI","09/08/15 12:14:41",,0,"ECAD"
1734,6,"GRANT BLOCK","09/08/15 12:14:41",,0,"ECAD"
1735,3,"VASSOURINHA","09/08/15 12:14:41",,0,"ECAD"
1736,6,"GONGUE","09/08/15 12:14:41",,0,"ECAD"
1737,6,"ALFAIA","09/08/15 12:14:41",,0,"ECAD"
1738,6,"BELTRY","09/08/15 12:14:41",,0,"ECAD"
1754,6,"OBEHAINE","09/08/15 12:14:41",,0,"ECAD"
1774,6,"FENDU","09/08/15 12:14:41",,0,"ECAD"
1794,1,"GARRAFAS SOPRADAS","09/08/15 12:14:41",,0,"ECAD"
1795,6,"CINCERRO","09/08/15 12:14:41",,0,"ECAD"
1796,2,"VIOLAO COM ARCO","09/08/15 12:14:41",,0,"ECAD"
1797,3,"MARIMBA DE VIDRO","09/08/15 12:14:41",,0,"ECAD"
1814,2,"VIOLAO DOBRO","09/08/15 12:14:41",,0,"ECAD"
1834,3,"LAPIS NO DENTE","09/08/15 12:14:41",,0,"ECAD"
1854,2,"VIOLA DE COCHO","09/08/15 12:14:41",,0,"ECAD"
1874,6,"NAYABINGUIM","09/08/15 12:14:41",,0,"ECAD"
1894,126,"DIRECAO DE PRONUNCIA","09/08/15 12:14:41",,0,"ECAD"
1914,6,"PROPHET","09/08/15 12:14:41",,0,"ECAD"
1915,6,"FENDER RHODES","09/08/15 12:14:41",,0,"ECAD"
1955,2,"VIOLAO ELETRICO","09/08/15 12:14:41",,0,"ECAD"
1975,6,"HI - HAT","09/08/15 12:14:41",,0,"ECAD"
1995,3,"PERCUSSAO ACUSTICA","09/08/15 12:14:41",,0,"ECAD"
2016,6,"MELLOTRON","09/08/15 12:14:41",,0,"ECAD"
2036,1,"BOMBARDINO","09/08/15 12:14:41",,0,"ECAD"
2056,6,"EFEITO VENTO","09/08/15 12:14:41",,0,"ECAD"
2057,6,"RUBBER NOSE","09/08/15 12:14:41",,0,"ECAD"
2058,1,"APITO CHAIMMANBU","09/08/15 12:14:41",,0,"ECAD"
2059,3,"CAIXA DE ISOPOR","09/08/15 12:14:41",,0,"ECAD"
2060,6,"INSTROSCUTA","09/08/15 12:14:41",,0,"ECAD"
2061,3,"TIMBANCO","09/08/15 12:14:41",,0,"ECAD"
2062,6,"QUADRICANO","09/08/15 12:14:41",,0,"ECAD"
2063,6,"ESTANTE DE TONEL","09/08/15 12:14:41",,0,"ECAD"
2064,6,"ESTANTE COM TAMPAO","09/08/15 12:14:41",,0,"ECAD"
2076,6,"FRELESS","09/08/15 12:14:41",,0,"ECAD"
2077,6,"TRASTE","09/08/15 12:14:41",,0,"ECAD"
2096,6,"GONGE","09/08/15 12:14:41",,0,"ECAD"
2116,6,"DBARK","09/08/15 12:14:41",,0,"ECAD"
2117,126,"SAMPLES","09/08/15 12:14:41",,0,"ECAD"
2136,6,"PASSAROS","09/08/15 12:14:41",,0,"ECAD"
2156,6,"CHIC","09/08/15 12:14:41",,0,"ECAD"
2176,3,"TAMPURA","09/08/15 12:14:41",,0,"ECAD"
2177,126,"ASSIST.DE PRODUCAO","09/08/15 12:14:41",,0,"ECAD"
2196,6,"MOOG","09/08/15 12:14:41",,0,"ECAD"
2216,6,"BLIM","09/08/15 12:14:41",,0,"ECAD"
2217,2,"VIOLINO SOLO","09/08/15 12:14:41",,0,"ECAD"
2219,6,"AFOUXE","09/08/15 12:14:41",,0,"ECAD"
2236,6,"ONDAS","09/08/15 12:14:41",,0,"ECAD"
2256,6,"MUSSETE","09/08/15 12:14:41",,0,"ECAD"
2278,2,"VIOLA PORTUGUESA","09/08/15 12:14:41",,0,"ECAD"
